superfamily_id	anno_empty_count	anno_empty_perc	anno_nonempty_count	anno_nonempty_perc	anno_total_count
3.30.1600.10	2	33	4	66	6
3.30.160.40	0	0	19	100	19
3.30.200.20	143	31	304	68	447
3.30.20.10	8	72	3	27	11
3.30.2140.10	0	0	1	100	1
3.30.2350.10	0	0	16	100	16
3.30.2410.10	9	37	15	62	24
3.30.300.10	0	0	58	100	58
3.30.300.30	53	27	140	72	193
3.30.30.30	7	63	4	36	11
3.30.310.130	1	20	4	80	5
3.30.360.10	9	7	111	92	120
3.30.365.10	3	15	17	85	20
3.30.386.10	0	0	2	100	2
3.30.390.30	1	2	39	97	40
3.30.413.10	2	10	18	90	20
3.30.420.10	69	36	122	63	191
3.30.420.40	103	38	162	61	265
3.30.428.10	7	25	21	75	28
3.30.429.10	4	15	22	84	26
3.30.43.10	9	12	63	87	72
3.30.460.10	38	36	65	63	103
3.30.465.10	30	35	55	64	85
3.30.470.10	2	12	14	87	16
3.30.470.20	10	7	129	92	139
3.30.470.30	5	17	23	82	28
3.30.479.10	0	0	5	100	5
3.30.499.10	0	0	12	100	12
3.30.540.10	2	6	28	93	30
3.30.559.10	76	37	129	62	205
3.30.565.10	53	21	190	78	243
3.30.572.10	1	14	6	85	7
3.30.590.10	2	20	8	80	10
3.30.70.100	51	42	69	57	120
3.30.70.1230	6	13	39	86	45
3.30.70.141	8	20	31	79	39
3.30.70.1470	4	50	4	50	8
3.30.70.340	0	0	9	100	9
3.30.70.420	0	0	3	100	3
3.30.70.560	0	0	1	100	1
3.30.70.580	0	0	30	100	30
3.30.70.890	0	0	44	100	44
3.30.800.10	2	15	11	84	13
3.30.810.10	1	33	2	66	3
3.30.830.10	8	9	73	90	81
3.30.930.10	9	7	110	92	119
3.30.950.10	1	1	51	98	52
3.30.990.10	0	0	1	100	1
3.40.10.10	0	0	2	100	2
3.40.1010.10	1	5	19	95	20
3.40.1030.10	0	0	3	100	3
3.40.1050.10	0	0	4	100	4
3.40.1060.10	0	0	4	100	4
3.40.1090.10	3	21	11	78	14
3.40.109.10	5	26	14	73	19
3.40.1130.10	1	50	1	50	2
3.40.1160.10	2	6	29	93	31
3.40.1180.10	2	22	7	77	9
3.40.1190.10	0	0	41	100	41
3.40.1190.20	4	12	27	87	31
3.40.120.10	16	11	118	88	134
3.40.1350.10	3	25	9	75	12
3.40.1400.10	0	0	3	100	3
3.40.140.10	24	44	30	55	54
3.40.1450.10	0	0	3	100	3
3.40.190.10	364	70	149	29	513
3.40.190.80	0	0	39	100	39
3.40.210.10	2	66	1	33	3
3.40.225.10	3	13	19	86	22
3.40.228.10	6	25	18	75	24
3.40.250.10	40	39	61	60	101
3.40.275.10	0	0	1	100	1
3.40.309.10	4	10	33	89	37
3.40.366.10	3	15	17	85	20
3.40.390.10	13	20	51	79	64
3.40.420.10	0	0	5	100	5
3.40.430.10	5	16	26	83	31
3.40.440.10	0	0	8	100	8
3.40.462.10	0	0	2	100	2
3.40.470.10	1	11	8	88	9
3.40.47.10	21	16	103	83	124
3.40.50.1000	27	14	158	85	185
3.40.50.1010	25	28	63	71	88
3.40.50.10210	0	0	1	100	1
3.40.50.10230	0	0	2	100	2
3.40.50.10300	0	0	4	100	4
3.40.50.10380	0	0	4	100	4
3.40.50.10420	3	42	4	57	7
3.40.50.10490	17	17	83	83	100
3.40.50.10540	1	20	4	80	5
3.40.50.10860	34	51	32	48	66
3.40.50.1100	8	11	61	88	69
3.40.50.1110	9	26	25	73	34
3.40.50.1170	0	0	8	100	8
3.40.50.1220	10	13	62	86	72
3.40.50.1240	13	24	40	75	53
3.40.50.1260	0	0	16	100	16
3.40.50.1360	3	25	9	75	12
3.40.50.1370	0	0	64	100	64
3.40.50.1380	0	0	52	100	52
3.40.50.140	0	0	19	100	19
3.40.50.1400	0	0	42	100	42
3.40.50.1460	6	22	21	77	27
3.40.50.1470	1	20	4	80	5
3.40.50.1480	0	0	3	100	3
3.40.50.150	82	14	478	85	560
3.40.50.1580	8	38	13	61	21
3.40.50.170	1	3	28	96	29
3.40.50.1700	0	0	12	100	12
3.40.50.180	0	0	3	100	3
3.40.50.1820	103	27	274	72	377
3.40.50.1860	3	12	21	87	24
3.40.50.1950	0	0	6	100	6
3.40.50.1970	0	0	37	100	37
3.40.50.1980	62	57	45	42	107
3.40.50.20	6	8	63	91	69
3.40.50.200	17	36	30	63	47
3.40.50.2000	32	10	261	89	293
3.40.50.2020	11	11	88	88	99
3.40.50.2300	334	63	193	36	527
3.40.50.261	4	36	7	63	11
3.40.50.280	0	0	22	100	22
3.40.50.360	11	12	75	87	86
3.40.50.40	0	0	4	100	4
3.40.50.450	3	23	10	76	13
3.40.50.460	0	0	1	100	1
3.40.50.620	88	25	252	74	340
3.40.50.720	178	17	838	82	1016
3.40.50.740	7	23	23	76	30
3.40.50.80	10	20	40	80	50
3.40.50.850	1	7	12	92	13
3.40.50.880	25	27	67	72	92
3.40.50.9100	0	0	25	100	25
3.40.50.960	0	0	8	100	8
3.40.532.10	0	0	4	100	4
3.40.570.10	0	0	5	100	5
3.40.600.20	1	50	1	50	2
3.40.605.10	2	8	22	91	24
3.40.630.10	17	19	71	80	88
3.40.630.20	1	16	5	83	6
3.40.630.30	31	13	197	86	228
3.40.640.10	13	10	106	89	119
3.40.710.10	8	18	36	81	44
3.40.718.10	1	5	18	94	19
3.40.720.10	13	22	44	77	57
3.40.800.10	2	18	9	81	11
3.40.80.10	0	0	11	100	11
3.40.830.10	2	50	2	50	4
3.40.850.10	14	82	3	17	17
3.40.910.10	0	0	3	100	3
3.40.950.10	0	0	1	100	1
3.50.20.10	0	0	3	100	3
3.50.30.10	0	0	9	100	9
3.50.50.60	53	19	217	80	270
3.50.70.10	4	57	3	42	7
3.60.10.10	9	23	30	76	39
3.60.110.10	1	5	19	95	20
3.60.130.10	5	45	6	54	11
3.60.15.10	20	21	73	78	93
3.60.20.10	5	11	37	88	42
3.60.20.30	1	5	16	94	17
3.60.21.10	12	17	56	82	68
3.60.60.10	1	11	8	88	9
3.60.90.10	0	0	5	100	5
3.65.10.10	2	5	34	94	36
3.75.10.10	3	42	4	57	7
3.90.1070.10	0	0	11	100	11
3.90.110.10	0	0	15	100	15
3.90.1140.10	6	50	6	50	12
3.90.1170.20	0	0	3	100	3
3.90.1200.10	10	20	39	79	49
3.90.1240.10	0	0	1	100	1
3.90.1260.10	0	0	2	100	2
3.90.1300.10	0	0	7	100	7
3.90.1360.10	0	0	1	100	1
3.90.1410.10	2	28	5	71	7
3.90.15.10	0	0	4	100	4
3.90.1590.10	1	50	1	50	2
3.90.1750.10	14	40	21	60	35
3.90.175.10	0	0	3	100	3
3.90.176.10	1	14	6	85	7
3.90.180.10	18	21	67	78	85
3.90.190.10	31	25	93	75	124
3.90.199.10	0	0	6	100	6
3.90.210.10	0	0	4	100	4
3.90.226.10	21	18	92	81	113
3.90.228.10	4	50	4	50	8
3.90.228.20	1	20	4	80	5
3.90.230.10	2	18	9	81	11
3.90.245.10	2	66	1	33	3
3.90.260.10	1	50	1	50	2
3.90.320.10	0	0	31	100	31
3.90.330.10	0	0	2	100	2
3.90.340.10	0	0	1	100	1
3.90.420.10	1	25	3	75	4
3.90.45.10	0	0	22	100	22
3.90.470.20	2	8	22	91	24
3.90.480.10	0	0	12	100	12
3.90.550.10	25	11	199	88	224
3.90.700.10	5	18	22	81	27
3.90.70.10	19	21	69	78	88
3.90.730.10	0	0	4	100	4
3.90.770.10	1	12	7	87	8
3.90.780.10	1	12	7	87	8
3.90.78.10	0	0	3	100	3
3.90.79.10	12	12	86	87	98
3.90.80.10	0	0	5	100	5
3.90.850.10	2	11	15	88	17
3.90.870.10	0	0	3	100	3
4.10.510.10	0	0	1	100	1
